job_id,nodes,tasks-per-node,cpu-per-task,total_computation,priority,injection_time,dependency
0,8,14,1,571776e9,1,0,()
1,13,18,4,4163640e9,1,0,()
2,15,9,2,2316600e9,1,0,()
3,14,7,3,2416176e9,1,0,(2)
4,20,14,1,2579520e9,1,0,()
5,8,8,3,917184e9,1,0,()
6,9,16,2,2857680e9,1,0,()
7,2,1,2,34616e9,1,0,()
8,1,12,1,209544e9,1,0,()
9,12,5,4,368352e9,1,0,(5)
10,10,10,2,1204080e9,1,3600,()
11,16,17,2,884352e9,1,3600,(10)
12,3,14,4,1565712e9,1,3600,()
13,19,12,3,771096e9,1,3600,(10,4,6)
14,3,16,4,1106712e9,1,3600,()
15,6,3,4,1773936e9,1,3600,(0)
16,4,13,1,1412160e9,1,3600,(2,14)
17,24,12,1,9051264e9,1,3600,(9)
18,18,11,4,1327536e9,1,3600,()
19,11,18,4,3131304e9,1,3600,()
20,11,16,3,2291520e9,1,7200,(6,7)
21,4,18,3,1095456e9,1,7200,(2)
22,1,3,3,306954e9,1,7200,(1,19)
23,5,8,2,1171080e9,1,7200,()
24,14,16,4,7837536e9,1,7200,(8,7)
25,5,6,3,1388760e9,1,7200,()
26,5,18,3,2016600e9,1,7200,(18,21)
27,14,10,2,2172240e9,1,7200,(24,18,22)
28,10,15,2,2002080e9,1,7200,()
29,19,12,1,5401320e9,1,7200,(8,22)
30,2,2,1,65040e9,1,10800,()
31,11,17,3,4047384e9,1,10800,()
32,11,11,4,1449360e9,1,10800,()
33,5,18,1,227040e9,1,10800,()
34,32,8,2,13387776e9,1,10800,()
35,3,6,3,303552e9,1,10800,(1,27)
36,5,13,1,1080600e9,1,10800,()
37,8,8,4,2908032e9,1,10800,()
38,16,12,3,2352768e9,1,10800,(10)
39,8,7,4,1000128e9,1,10800,(34)
40,27,12,4,4512024e9,1,14400,()
41,2,5,3,175968e9,1,14400,()
42,5,4,4,3118560e9,1,14400,()
43,4,17,4,122784e9,1,14400,(18,35)
44,15,7,1,3908310e9,1,14400,()
45,9,17,1,3175632e9,1,14400,(35)
46,21,11,2,585648e9,1,14400,()
47,16,9,3,7020288e9,1,14400,(13)
48,4,11,3,1004160e9,1,14400,()
49,7,7,1,644252e9,1,14400,(41,3,17)
50,2,9,4,802512e9,1,18000,()
51,9,1,2,239796e9,1,18000,()
52,2,10,1,631960e9,1,18000,()
53,9,7,1,1565802e9,1,18000,()
54,15,5,1,476100e9,1,18000,(25)
55,2,18,3,401760e9,1,18000,()
56,9,4,4,1189944e9,1,18000,()
57,1,18,2,277992e9,1,18000,(48,44)
58,7,16,3,1008336e9,1,18000,(56)
59,5,1,1,12030e9,1,18000,()
60,2,1,1,17264e9,1,21600,(3,31)
61,3,1,3,303138e9,1,21600,()
62,20,10,2,16267200e9,1,21600,()
63,24,6,4,2414592e9,1,21600,()
64,6,2,4,1349664e9,1,21600,()
65,8,12,1,1588608e9,1,21600,(49)
66,11,18,3,3238752e9,1,21600,()
67,15,6,4,2358720e9,1,21600,(36,39)
68,20,5,1,2704000e9,1,21600,()
69,7,10,4,2948568e9,1,21600,(31)
70,9,12,4,3882816e9,1,25200,()
71,1,17,1,606384e9,1,25200,()
72,4,14,2,517920e9,1,25200,(46)
73,13,18,3,9070464e9,1,25200,(2)
74,18,5,2,6712200e9,1,25200,()
75,23,16,3,11945280e9,1,25200,(35)
76,26,17,3,1116336e9,1,25200,(49)
77,10,18,2,921600e9,1,25200,(49)
78,1,14,1,222864e9,1,25200,()
79,14,10,1,3309320e9,1,25200,()
80,5,4,4,144600e9,1,28800,(79)
81,23,5,3,6427488e9,1,28800,(71)
82,14,8,4,4102896e9,1,28800,(1)
83,1,1,1,27602e9,1,28800,(32,69)
84,3,4,2,598368e9,1,28800,()
85,7,8,1,2153088e9,1,28800,(40)
86,3,2,3,201708e9,1,28800,(69)
87,9,16,4,4612680e9,1,28800,()
88,11,14,2,1651056e9,1,28800,(54)
89,24,16,4,9988992e9,1,28800,(26,86)
90,7,7,1,377300e9,1,32400,(2)
91,7,9,4,1997520e9,1,32400,(12)
92,2,4,2,31776e9,1,32400,(62)
93,3,9,3,187056e9,1,32400,()
94,6,16,3,425520e9,1,32400,()
95,5,12,3,2146320e9,1,32400,()
96,8,9,2,1402176e9,1,32400,()
97,2,7,4,76800e9,1,32400,()
98,27,11,2,2453328e9,1,32400,()
99,4,5,2,345920e9,1,32400,()
100,7,15,3,3008712e9,1,36000,()
101,6,14,3,1306800e9,1,36000,()
102,9,6,3,4663872e9,1,36000,(8,75)
103,3,18,1,329904e9,1,36000,(69)
104,16,7,3,1532160e9,1,36000,(72,69)
105,29,1,1,1388346e9,1,36000,(24,41)
106,18,10,3,652320e9,1,36000,(4)
107,7,14,1,870240e9,1,36000,()
108,3,17,1,904392e9,1,36000,(95)
109,2,1,3,67992e9,1,36000,()
110,3,11,3,1001664e9,1,39600,()
111,7,17,1,649320e9,1,39600,()
112,5,18,4,2076000e9,1,39600,()
113,21,3,1,563094e9,1,39600,()
114,15,8,4,3769560e9,1,39600,()
115,5,14,4,2693160e9,1,39600,(100)
116,4,18,4,1695168e9,1,39600,(103)
117,13,17,2,5077176e9,1,39600,()
118,6,16,3,748512e9,1,39600,()
119,6,15,1,2891952e9,1,39600,(27,70,30)
120,7,4,3,1471344e9,1,43200,()
121,7,16,3,915600e9,1,43200,()
122,6,11,3,1238256e9,1,43200,()
123,2,16,1,308640e9,1,43200,(18)
124,10,12,2,2233440e9,1,43200,()
125,14,11,1,3755136e9,1,43200,()
126,16,11,3,5428608e9,1,43200,()
127,11,17,4,3331944e9,1,43200,()
128,6,11,4,1560672e9,1,43200,(94)
129,10,8,4,4043280e9,1,43200,(89,61,79)
130,7,6,4,2121000e9,1,46800,()
131,6,14,1,208368e9,1,46800,()
132,17,7,4,6363576e9,1,46800,(50,115,36)
133,9,8,4,1661688e9,1,46800,()
134,13,13,4,1423032e9,1,46800,(106,44,69)
135,29,14,3,3196032e9,1,46800,(16,131)
136,1,15,3,279168e9,1,46800,()
137,12,13,3,1947744e9,1,46800,(50,67,60)
138,9,5,4,4075056e9,1,46800,(77)
139,5,14,2,1933800e9,1,46800,()
140,10,15,3,3872880e9,1,50400,(70)
141,13,6,4,1839552e9,1,50400,(7)
142,15,5,3,8657640e9,1,50400,(13)
143,2,16,1,323280e9,1,50400,()
144,4,14,1,2416800e9,1,50400,(13)
145,17,3,3,3255534e9,1,50400,(29)
146,9,13,1,3826440e9,1,50400,(53,71)
147,11,12,3,1205952e9,1,50400,(9,133)
148,5,5,4,371400e9,1,50400,()
149,15,11,3,6043680e9,1,50400,()
150,14,18,3,4703664e9,1,54000,()
151,21,13,1,6687072e9,1,54000,(150)
152,3,1,1,35790e9,1,54000,(28,23)
153,2,4,1,77152e9,1,54000,()
154,11,10,2,3886344e9,1,54000,()
155,13,9,3,4058808e9,1,54000,()
156,12,13,4,1582272e9,1,54000,(25,14)
157,15,8,4,1051200e9,1,54000,()
158,5,13,1,1987080e9,1,54000,()
159,6,13,3,431856e9,1,54000,()
160,23,9,4,4134480e9,1,57600,()
161,10,7,2,752160e9,1,57600,()
162,3,18,4,420048e9,1,57600,(115)
163,21,1,2,1431864e9,1,57600,(16,81)
164,15,17,4,5867640e9,1,57600,(15)
165,7,15,3,742560e9,1,57600,(37)
166,4,7,1,737520e9,1,57600,(65)
167,1,4,2,178528e9,1,57600,(60)
168,3,6,1,265860e9,1,57600,()
169,9,5,2,1581840e9,1,57600,()
170,4,6,4,506400e9,1,61200,(74)
171,13,6,3,4949568e9,1,61200,(121)
172,11,13,2,3421704e9,1,61200,()
173,2,1,4,206016e9,1,61200,(139,158)
174,13,17,4,3924336e9,1,61200,()
175,14,14,1,2162160e9,1,61200,(126)
176,1,12,3,336504e9,1,61200,(38,63)
177,4,11,2,1327296e9,1,61200,()
178,5,3,1,210210e9,1,61200,()
179,2,16,4,334032e9,1,61200,(159,12,119)
180,11,8,3,535656e9,1,64800,(156,61)
181,9,10,2,298944e9,1,64800,(44)
182,3,12,2,925344e9,1,64800,()
183,1,15,2,212064e9,1,64800,(3,29)
184,9,10,1,4176540e9,1,64800,(139)
185,8,9,2,3937152e9,1,64800,()
186,8,10,4,3118848e9,1,64800,()
187,4,1,1,27880e9,1,64800,(91,52,86)
188,7,2,3,944832e9,1,64800,()
189,2,5,1,77900e9,1,64800,()
190,23,12,4,6021768e9,1,68400,()
191,6,7,4,2356560e9,1,68400,()
192,15,16,1,2999160e9,1,68400,()
193,3,15,1,983448e9,1,68400,()
194,11,7,2,547800e9,1,68400,()
195,12,5,1,967080e9,1,68400,(78)
196,16,8,4,4682112e9,1,68400,()
197,17,10,2,2502672e9,1,68400,(27,36)
198,8,16,2,2283456e9,1,68400,()
199,4,11,4,438816e9,1,68400,(105)
200,13,4,2,3702816e9,1,72000,(53)
201,16,16,3,6345216e9,1,72000,(134)
