job_id,nodes,tasks-per-node,cpu-per-task,total_computation,priority,dependency
0,35,17,4,515e12,1,()
1,26,6,1,129e12,1,(0)
2,19,17,1,418e12,1,(0,1)
3,45,16,1,531e12,1,(0,2)
4,50,7,3,490e12,1,(1,3)
5,47,5,1,175e12,1,()
6,6,2,4,191e12,1,(0,2,5)
7,15,3,3,512e12,1,(5,6)
8,2,4,4,229e12,1,()
9,9,1,2,468e12,1,(3,5)
10,15,1,1,581e12,1,()
11,24,3,2,202e12,1,(3)
12,24,4,1,512e12,1,(1,4)
13,3,2,3,462e12,1,()
14,41,15,2,219e12,1,(0,5)
15,50,6,2,264e12,1,()
16,24,14,3,466e12,1,()
17,43,10,3,486e12,1,(12,6)
18,42,7,3,359e12,1,(14)
19,4,14,3,239e12,1,(17,4)
20,49,15,4,479e12,1,(12)
21,18,5,1,473e12,1,()
22,37,16,4,560e12,1,()
23,5,3,2,688e12,1,()
24,8,16,1,136e12,1,(10)
25,26,7,1,501e12,1,()
26,23,7,1,117e12,1,()
27,40,1,1,226e12,1,(3,18,19)
28,11,3,4,550e12,1,(14)
29,43,17,2,606e12,1,(24,22)
30,8,11,3,149e12,1,(10,21)
31,21,16,4,196e12,1,(23)
32,37,18,3,573e12,1,(22)
33,4,8,3,573e12,1,(24)
34,42,4,2,178e12,1,(2)
35,22,17,1,606e12,1,()
36,27,6,3,584e12,1,()
37,23,15,1,273e12,1,()
38,33,6,1,657e12,1,(32,9)
39,45,14,1,536e12,1,()
40,31,1,3,677e12,1,()
41,18,13,3,264e12,1,(36)
42,44,9,2,282e12,1,()
43,13,7,1,675e12,1,(35)
44,48,10,4,161e12,1,(27)
45,43,12,2,496e12,1,(39)
46,4,4,3,295e12,1,(24,17,43)
47,19,9,3,686e12,1,(37)
48,39,9,1,491e12,1,(34)
49,21,12,3,309e12,1,()
50,46,3,1,344e12,1,()
51,34,9,2,421e12,1,()
52,13,18,2,107e12,1,(43,20)
53,45,6,2,309e12,1,()
